PING 10.0.30.1 (10.0.30.1) 56(84) bytes of data.
64 bytes from 10.0.30.1: icmp_seq=1 ttl=64 time=105 ms
64 bytes from 10.0.30.1: icmp_seq=2 ttl=64 time=84.3 ms
64 bytes from 10.0.30.1: icmp_seq=3 ttl=64 time=83.2 ms
64 bytes from 10.0.30.1: icmp_seq=4 ttl=64 time=85.3 ms
64 bytes from 10.0.30.1: icmp_seq=5 ttl=64 time=84.7 ms
64 bytes from 10.0.30.1: icmp_seq=6 ttl=64 time=84.4 ms
64 bytes from 10.0.30.1: icmp_seq=7 ttl=64 time=83.5 ms
64 bytes from 10.0.30.1: icmp_seq=8 ttl=64 time=84.3 ms
64 bytes from 10.0.30.1: icmp_seq=9 ttl=64 time=84.6 ms
64 bytes from 10.0.30.1: icmp_seq=10 ttl=64 time=82.6 ms
64 bytes from 10.0.30.1: icmp_seq=11 ttl=64 time=86.1 ms
64 bytes from 10.0.30.1: icmp_seq=12 ttl=64 time=83.7 ms
64 bytes from 10.0.30.1: icmp_seq=13 ttl=64 time=84.7 ms
64 bytes from 10.0.30.1: icmp_seq=14 ttl=64 time=83.4 ms
64 bytes from 10.0.30.1: icmp_seq=15 ttl=64 time=89.7 ms
64 bytes from 10.0.30.1: icmp_seq=16 ttl=64 time=84.8 ms
64 bytes from 10.0.30.1: icmp_seq=17 ttl=64 time=83.3 ms
64 bytes from 10.0.30.1: icmp_seq=18 ttl=64 time=84.5 ms
64 bytes from 10.0.30.1: icmp_seq=19 ttl=64 time=85.2 ms
64 bytes from 10.0.30.1: icmp_seq=20 ttl=64 time=82.6 ms
64 bytes from 10.0.30.1: icmp_seq=21 ttl=64 time=84.8 ms
64 bytes from 10.0.30.1: icmp_seq=22 ttl=64 time=86.1 ms
64 bytes from 10.0.30.1: icmp_seq=23 ttl=64 time=84.4 ms
64 bytes from 10.0.30.1: icmp_seq=24 ttl=64 time=82.5 ms
64 bytes from 10.0.30.1: icmp_seq=25 ttl=64 time=86.0 ms
64 bytes from 10.0.30.1: icmp_seq=26 ttl=64 time=85.5 ms
64 bytes from 10.0.30.1: icmp_seq=27 ttl=64 time=84.5 ms
64 bytes from 10.0.30.1: icmp_seq=28 ttl=64 time=85.4 ms
64 bytes from 10.0.30.1: icmp_seq=29 ttl=64 time=85.4 ms
64 bytes from 10.0.30.1: icmp_seq=30 ttl=64 time=84.6 ms
64 bytes from 10.0.30.1: icmp_seq=31 ttl=64 time=82.9 ms
64 bytes from 10.0.30.1: icmp_seq=32 ttl=64 time=84.2 ms
64 bytes from 10.0.30.1: icmp_seq=33 ttl=64 time=85.1 ms
64 bytes from 10.0.30.1: icmp_seq=34 ttl=64 time=86.0 ms
64 bytes from 10.0.30.1: icmp_seq=35 ttl=64 time=83.8 ms
64 bytes from 10.0.30.1: icmp_seq=36 ttl=64 time=85.3 ms
64 bytes from 10.0.30.1: icmp_seq=37 ttl=64 time=83.9 ms
64 bytes from 10.0.30.1: icmp_seq=38 ttl=64 time=83.2 ms
64 bytes from 10.0.30.1: icmp_seq=39 ttl=64 time=83.8 ms
64 bytes from 10.0.30.1: icmp_seq=40 ttl=64 time=83.4 ms
64 bytes from 10.0.30.1: icmp_seq=41 ttl=64 time=83.7 ms
64 bytes from 10.0.30.1: icmp_seq=42 ttl=64 time=84.7 ms
64 bytes from 10.0.30.1: icmp_seq=43 ttl=64 time=84.8 ms
64 bytes from 10.0.30.1: icmp_seq=44 ttl=64 time=85.9 ms
64 bytes from 10.0.30.1: icmp_seq=45 ttl=64 time=85.3 ms
64 bytes from 10.0.30.1: icmp_seq=46 ttl=64 time=83.6 ms
64 bytes from 10.0.30.1: icmp_seq=47 ttl=64 time=84.4 ms
64 bytes from 10.0.30.1: icmp_seq=48 ttl=64 time=85.2 ms
64 bytes from 10.0.30.1: icmp_seq=49 ttl=64 time=84.0 ms
64 bytes from 10.0.30.1: icmp_seq=50 ttl=64 time=83.4 ms

--- 10.0.30.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49068ms
rtt min/avg/max/mdev = 82.536/84.919/105.141/3.128 ms
